ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Georgia Street ATM,2011-01-01,50,123800,Saturday,H,
Main Street ATM,2011-01-01,253,767900,Saturday,H,
Genesee Street ATM,2011-01-01,98,503400,Saturday,H,
Hollywood Aveneue ATM,2011-01-01,265,945300,Saturday,H,
Kingsley Street ATM,2011-01-01,74,287700,Saturday,H,
Georgia Street ATM,2011-01-02,17,52800,Sunday,H,
Main Street ATM,2011-01-02,194,529300,Sunday,H,
Genesee Street ATM,2011-01-02,67,268600,Sunday,H,
Hollywood Aveneue ATM,2011-01-02,260,809400,Sunday,H,
Kingsley Street ATM,2011-01-02,80,300000,Sunday,H,
Georgia Street ATM,2011-01-03,24,88100,Monday,W,
Main Street ATM,2011-01-03,246,897100,Monday,W,
Genesee Street ATM,2011-01-03,109,603900,Monday,W,
Hollywood Aveneue ATM,2011-01-03,309,1333100,Monday,W,
Kingsley Street ATM,2011-01-03,108,522800,Monday,W,
Georgia Street ATM,2011-01-04,34,101600,Tuesday,W,
Main Street ATM,2011-01-04,246,826000,Tuesday,W,
Genesee Street ATM,2011-01-04,113,541600,Tuesday,W,
Hollywood Aveneue ATM,2011-01-04,225,999400,Tuesday,W,
Kingsley Street ATM,2011-01-04,143,737400,Tuesday,W,
Georgia Street ATM,2011-01-05,30,98000,Wednesday,W,
Main Street ATM,2011-01-05,211,754400,Wednesday,W,
Genesee Street ATM,2011-01-05,100,530000,Wednesday,W,
Hollywood Aveneue ATM,2011-01-05,255,959200,Wednesday,W,
Kingsley Street ATM,2011-01-05,95,387300,Wednesday,W,
Georgia Street ATM,2011-01-06,29,85900,Thursday,W,
Main Street ATM,2011-01-06,213,834200,Thursday,W,
Genesee Street ATM,2011-01-06,96,434500,Thursday,W,
Hollywood Aveneue ATM,2011-01-06,211,820700,Thursday,W,
Kingsley Street ATM,2011-01-06,116,430500,Thursday,W,
Georgia Street ATM,2011-01-07,23,76500,Friday,W,
Main Street ATM,2011-01-07,172,575300,Friday,W,
Genesee Street ATM,2011-01-07,85,334800,Friday,W,
Hollywood Aveneue ATM,2011-01-07,205,833500,Friday,W,
Kingsley Street ATM,2011-01-07,85,345800,Friday,W,
Georgia Street ATM,2011-01-08,37,128600,Saturday,H,
Main Street ATM,2011-01-08,212,792700,Saturday,H,
Genesee Street ATM,2011-01-08,126,518900,Saturday,H,
Hollywood Aveneue ATM,2011-01-08,217,782100,Saturday,H,
Kingsley Street ATM,2011-01-08,86,366500,Saturday,H,
Georgia Street ATM,2011-01-09,36,89000,Sunday,H,
Main Street ATM,2011-01-09,311,751800,Sunday,H,
Genesee Street ATM,2011-01-09,106,337100,Sunday,H,
Hollywood Aveneue ATM,2011-01-09,149,438000,Sunday,H,
Kingsley Street ATM,2011-01-09,100,363800,Sunday,H,
Georgia Street ATM,2011-01-10,29,89800,Monday,W,
Main Street ATM,2011-01-10,219,702200,Monday,W,
Genesee Street ATM,2011-01-10,99,424200,Monday,W,
Hollywood Aveneue ATM,2011-01-10,224,949700,Monday,W,
Kingsley Street ATM,2011-01-10,116,545400,Monday,W,
Georgia Street ATM,2011-01-11,42,111900,Tuesday,W,
Main Street ATM,2011-01-11,232,506000,Tuesday,W,
Genesee Street ATM,2011-01-11,101,390700,Tuesday,W,
Hollywood Aveneue ATM,2011-01-11,228,837900,Tuesday,W,
Kingsley Street ATM,2011-01-11,92,343700,Tuesday,W,
Georgia Street ATM,2011-01-12,19,42700,Wednesday,W,
Main Street ATM,2011-01-12,235,647600,Wednesday,W,
Genesee Street ATM,2011-01-12,116,497200,Wednesday,W,
Hollywood Aveneue ATM,2011-01-12,198,769600,Wednesday,W,
Kingsley Street ATM,2011-01-12,74,301300,Wednesday,W,
Georgia Street ATM,2011-01-13,22,81200,Thursday,W,
Main Street ATM,2011-01-13,184,506300,Thursday,W,
Genesee Street ATM,2011-01-13,103,411700,Thursday,W,
Hollywood Aveneue ATM,2011-01-13,223,771400,Thursday,W,
Kingsley Street ATM,2011-01-13,143,510300,Thursday,W,
Georgia Street ATM,2011-01-14,25,91100,Friday,W,
Main Street ATM,2011-01-14,179,451400,Friday,W,
Genesee Street ATM,2011-01-14,109,458500,Friday,W,
Hollywood Aveneue ATM,2011-01-14,238,876400,Friday,W,
